streetAddress_andrew,fullAddress_andrew,"lat,long",lat,long,priceBought,timesFinanced_byChen,Document ID,portfolioCompany
237 W 23rd St,"237 W 23rd St, Chicago, IL","41.8507613, -87.6334328",41.8507613,-87.6334328,"$565,500.00",2,2302625031,Portfolio X One
2916 S Archer Ave,"2916 S Archer Ave, Chicago, IL","41.8416916, -87.6584306",41.8416916,-87.6584306,"$920,000.00",2,2302625031,Portfolio X One
3026 S Union Ave,"3026 S Union Ave, Chicago, IL","41.8390912, -87.6441562",41.8390912,-87.6441562,"$800,000.00",1,2324934050,Value Portfolio
701 S State St,"701 S State St, Chicago, IL","41.87299, -87.627202",41.87299,-87.627202,"$6,000,000.00",2,2324934050,Value portfolio
251 W 25th Pl,251 W 25th Pl,"41.846084, -87.633856",41.846084,-87.633856,n/a,1,2324934050,Value portfolio
2907 S Union Ave,"2907 S Union Ave, Chicago, IL","41.8414708, -87.6436643",41.8414708,-87.6436643,"$1,200,000.00",1,2326322037,FourthGold
478-480 W 28th St,478-480 W 28th St,"41.8437724, -87.6396941",41.8437724,-87.6396941,"$750,000.00",1,2326322037,FourthGold
3226 S Canal St,"3226 S Canal St, Chicago, IL","41.8355304, -87.63793509999999",41.8355304,-87.6379351,"$420,000.00",1,2326322037,FourthGold
461 W 31st St,"461 W 31st St, Chicago, IL","41.8379495, -87.6384479",41.8379495,-87.6384479,n/a,1,2326322037,FourthGold
234 W Alexander St,"234 W Alexander St, Chicago, IL","41.8515919, -87.6333507",41.8515919,-87.6333507,"$998,000.00",3,2135701168; 2404722023,Seventh Gold; Power One
225 W 24th St,"225 W 24th St, Chicago, IL","41.8489341, -87.63293399999999",41.8489341,-87.632934,n/a,1,2404722023,Power One
2401 S Wentworth Ave,"2401 S Wentworth Ave, Chicago, IL","41.8490581, -87.6317907",41.8490581,-87.6317907,"$3,300,000.00",2,2404722023,Power One
238 W Alexander St,"238 W Alexander St, Chicago, IL","41.8516029, -87.6335326",41.8516029,-87.6335326,"$680,000.00",2,2404722023,Power One
3032 S Canal St,"3032 S Canal St, Chicago, IL","41.8389647, -87.63809909999999",41.8389647,-87.6380991,"$580,000.00",2,2404722023,Power One
3030 S Lyman St,"3030 S Lyman St, Chicago, IL","41.8393362, -87.6573229",41.8393362,-87.6573229,n/a,1,2404722023,Power One
250 W 31st St,"250 W 31st St, Chicago, IL","41.8384119, -87.6336729",41.8384119,-87.6336729,n/a,1,2410902195,Portfolio 02-2024 Investment LLC
222 W 22nd Pl,"222 W 22nd Pl, Chicago, IL","41.852393, -87.6329743",41.852393,-87.6329743,"$208,000.00",2,2410922038,Portfolio 02-2024 Investment LLC
"505 N Lake Shore Dr, Unit 1109 & C-18","505 N Lake Shore Dr, Unit 1109 & C-18, Chicago, IL","41.8917026, -87.6126117",41.8917026,-87.6126117,"$580,000.00",2,2410922038,Portfolio 02-2024 Investment LLC
1901 S Tom Parkway,"1901 S Tom Parkway, Chicago, IL","41.8562599, -87.634164",41.8562599,-87.634164,n/a,1,2410902195,Portfolio 02-2024 Investment LLC
220 W 23rd Pl,"220 W 23rd Pl, Chicago, IL","41.8502423, -87.6328601",41.8502423,-87.6328601,n/a,1,2410902195,Portfolio 02-2024 Investment LLC
3032 S Princeton Ave,"3032 S Princeton Ave, Chicago, IL","41.8386441, -87.6344447",41.8386441,-87.6344447,n/a,1,2410902195,Portfolio 02-2024 Investment LLC
243 W 24th St,"243 W 24th St, Chicago, IL","41.84890499999999, -87.63366889999999",41.848905,-87.6336689,"$1,200,000.00",2,2410902195,Portfolio 02-2024 Investment LLC
3222 S Normal Ave,"3222 S Normal Ave, Chicago, IL","41.8355755, -87.6391806",41.8355755,-87.6391806,"$898,000.00",2,2410922038,Portfolio 02-2024 Investment LLC
3300 S Emerald Ave,"3300 S Emerald Ave, Chicago, IL","41.8343018, -87.6452096",41.8343018,-87.6452096,n/a,2,2410922038,Portfolio 02-2024 Investment LLC
944 W 35th Pl,"944 W 35th Pl, Chicago, IL","41.8298704, -87.64950590000001",41.8298704,-87.6495059,n/a,2,2410922038,Portfolio 02-2024 Investment LLC
2714 S. Wallace St.,"2714 S. Wallace St., Chicago, IL","41.8439564, -87.6417864",41.8439564,-87.6417864,n/a,1,2420423087,Portfolio 05-2024
3146 S. Princeton Ave,"3146 S. Princeton Ave, Chicago, IL","41.8368025, -87.6343389",41.8368025,-87.6343389,n/a,1,2420423087,Portfolio 05-2024
2258 W. 35th St,"2258 W. 35th St, Chicago, IL","41.8305497, -87.6823814",41.8305497,-87.6823814,n/a,1,2420423087,Portfolio 05-2024
237 W. Alexander St.,"237 W. Alexander St., Chicago, IL","41.8513109, -87.6334306",41.8513109,-87.6334306,"$510,000.00",2,2420423087,Portfolio 05-2024
3136 S. Lowe Ave,"3136 S. Lowe Ave, Chicago, IL","41.8370178, -87.6428735",41.8370178,-87.6428735,n/a,1,2420423087,Portfolio 05-2024
3520 S Emerald Ave,"3520 S Emerald Ave, Chicago, IL","41.8301245, -87.64511949999999",41.8301245,-87.6451195,"$555,000.00",2,2512520109,Portfolio 09-2024
236 W 24th Pl,"236 W 24th Pl, Chicago, IL","41.8484291, -87.63338189999999",41.8484291,-87.6333819,"$918,000.00",2,2512520109,Portfolio 09-2024
3820 S Lowe Ave,"3820 S Lowe Ave, Chicago, IL","41.8246672, -87.64261450000001",41.8246672,-87.6426145,"$1,150,000.00",2,2512520109,Portfolio 09-2024
2606 S Wallace St,"2606 S Wallace St, Chicago, IL","41.8450745, -87.6418818",41.8450745,-87.6418818,n/a,1,2512520109,Portfolio 09-2024
2112 S Archer Ave,"2112 S Archer Ave, Chicago, IL","41.8544294, -87.6325973",41.8544294,-87.6325973,"$2,680,000.00",2,2433720417,Best Chen INV LLC
3439 S Union Ave,"3439 S Union Ave, Chicago, IL","41.8313811, -87.6433961",41.8313811,-87.6433961,"$1,020,000.00",2,2514024030,Evergreen Real Estate INV LLC
3220 S Normal Ave,"3220 S Normal Ave, Chicago, IL","41.8356374, -87.63919609999999",41.8356374,-87.6391961,"$715,000.00",2,2514024032,Heung Seng Corp
2520 S Archer Ave,"2520 S Archer Ave, Chicago, IL","41.8468643, -87.6480162",41.8468643,-87.6480162,"$1,630,000.00",1,2517718212,Cook Chinatown INV LLC
2817 S Union Ave,"2817 S Union Ave, Chicago, IL","41.843017, -87.6436897",41.843017,-87.6436897,"$798,000.00",2,2514024031,Heshun Two LLC
320 W 24th Place,"320 W 24th Place, Chicago, IL","41.8484291, -87.63559",41.8484291,-87.63559,"$780,000.00",2,2518908011,Evergreen Real Estate INV LLC
2002 S Wentworth Ave,"2002 S Wentworth Ave, Chicago, IL","41.8549358, -87.63226110000001",41.8549358,-87.6322611,"$280,000.00",2,2433714051,Heung Seng Corp
505 N Lake Shore Dr. Unit 101,505 N Lake Shore Dr. Unit 101,"41.890984, -87.612052",41.890984,-87.612052,"$795,000.00",2,2535324332,Second Gold
505 N Lake Shore Dr. Unit 105,"505 N Lake Shore Dr. Unit 105, Chicago, IL","41.891535, -87.61272699999999",41.891535,-87.612727,"$600,000.00",1,2504923039,Heung Seng Corp
25 E Superior St ,"25 E Superior St , Chicago, IL","41.8953702, -87.62712180000001",41.8953702,-87.6271218,"$1,637,500.00",3,2518224028,Heung Seng Corp
2634 S Wells ST,"2634 S Wells ST, Chicago, IL","41.8444474, -87.6333159",41.8444474,-87.6333159,"$850,000.00",1,2135618116,Best Credit INV LLC
